,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,bedrooms_na,bathrooms_na,beds_na,review_scores_rating_na,review_scores_accuracy_na,review_scores_cleanliness_na,review_scores_checkin_na,review_scores_communication_na,review_scores_location_na,review_scores_value_na
0,t,moderate,t,1.0,Western Addition,37.76931,-122.43386,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,Real Bed,1.0,180.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,f,strict_14_with_grace_period,f,2.0,Bernal Heights,37.74511,-122.42102,Apartment,Entire home/apt,5.0,1.0,2.0,3.0,Real Bed,30.0,111.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,f,strict_14_with_grace_period,f,10.0,Haight Ashbury,37.76669,-122.4525,Apartment,Private room,2.0,4.0,1.0,1.0,Real Bed,32.0,17.0,85.0,8.0,8.0,9.0,9.0,9.0,8.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,f,strict_14_with_grace_period,f,10.0,Haight Ashbury,37.76487,-122.45183,Apartment,Private room,2.0,4.0,1.0,1.0,Real Bed,32.0,8.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,f,strict_14_with_grace_period,f,2.0,Western Addition,37.77525,-122.43637,House,Entire home/apt,5.0,1.5,2.0,2.0,Real Bed,7.0,27.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,f,moderate,f,1.0,Western Addition,37.78471,-122.44555,Apartment,Entire home/apt,6.0,1.0,2.0,3.0,Real Bed,2.0,31.0,90.0,9.0,8.0,10.0,10.0,9.0,9.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,t,strict_14_with_grace_period,t,2.0,Mission,37.75919,-122.42237,Condominium,Private room,3.0,1.0,1.0,2.0,Real Bed,1.0,647.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,f,strict_14_with_grace_period,f,1.0,Potrero Hill,37.76259,-122.40543,House,Private room,2.0,1.0,1.0,1.0,Real Bed,1.0,453.0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,t,moderate,f,1.0,Mission,37.75874,-122.41327,Apartment,Entire home/apt,6.0,1.0,2.0,3.0,Real Bed,3.0,320.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,f,strict_14_with_grace_period,f,44.0,Haight Ashbury,37.77187,-122.43859,Apartment,Entire home/apt,3.0,1.0,3.0,3.0,Real Bed,30.0,37.0,89.0,9.0,9.0,10.0,9.0,9.0,9.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,f,strict_14_with_grace_period,f,44.0,Western Addition,37.77355,-122.42436,Apartment,Entire home/apt,5.0,2.0,3.0,3.0,Real Bed,30.0,14.0,91.0,10.0,10.0,10.0,9.0,10.0,9.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,f,strict_14_with_grace_period,f,44.0,Downtown/Civic Center,37.78574,-122.40798,Apartment,Entire home/apt,2.0,1.5,1.0,1.0,Real Bed,30.0,19.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,f,strict_14_with_grace_period,f,10.0,Haight Ashbury,37.77019,-122.44594,Apartment,Private room,2.0,4.0,1.0,2.0,Real Bed,32.0,6.0,80.0,9.0,8.0,9.0,10.0,9.0,7.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,f,strict_14_with_grace_period,f,10.0,Haight Ashbury,37.76894,-122.44778,Apartment,Private room,2.0,3.0,1.0,2.0,Real Bed,32.0,5.0,64.0,6.0,6.0,10.0,9.0,9.0,8.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,t,strict_14_with_grace_period,t,1.0,Castro/Upper Market,37.76075,-122.43032,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,3.0,390.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,t,strict_14_with_grace_period,f,2.0,Inner Sunset,37.76203,-122.45455,Townhouse,Entire home/apt,3.0,1.0,2.0,3.0,Real Bed,30.0,16.0,95.0,9.0,9.0,9.0,9.0,9.0,9.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,f,moderate,f,1.0,Mission,37.75491,-122.42246,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,Real Bed,3.0,103.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,f,strict_14_with_grace_period,f,3.0,South of Market,37.78647,-122.39072,Condominium,Entire home/apt,4.0,2.0,2.0,2.0,Real Bed,90.0,14.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,t,strict_14_with_grace_period,f,1.0,Noe Valley,37.74888,-122.42982,Apartment,Entire home/apt,3.0,1.0,0.0,1.0,Real Bed,30.0,61.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,t,strict_14_with_grace_period,f,3.0,Western Addition,37.77252,-122.43216,Townhouse,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,363.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,t,moderate,f,1.0,Mission,37.76349,-122.41517,Guest suite,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,5.0,227.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,t,moderate,f,1.0,Nob Hill,37.7958,-122.41533,Loft,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,119.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,f,strict_14_with_grace_period,f,10.0,Haight Ashbury,37.7648,-122.45251,Apartment,Private room,2.0,4.0,1.0,1.0,Real Bed,32.0,14.0,78.0,8.0,8.0,10.0,10.0,10.0,7.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,t,strict_14_with_grace_period,t,2.0,Bernal Heights,37.74556,-122.41207,Condominium,Private room,1.0,1.0,1.0,1.0,Real Bed,3.0,234.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,t,strict_14_with_grace_period,f,1.0,Castro/Upper Market,37.75963,-122.44143,House,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,3.0,353.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,t,strict_14_with_grace_period,f,2.0,Mission,37.75146,-122.41248,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,67.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,t,moderate,f,1.0,Noe Valley,37.74885,-122.43673,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,Real Bed,3.0,218.0,92.0,9.0,9.0,10.0,10.0,10.0,9.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,t,strict_14_with_grace_period,f,2.0,Potrero Hill,37.75645,-122.3991,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,272.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,t,flexible,f,1.0,Haight Ashbury,37.77162,-122.43836,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,1.0,184.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,t,moderate,t,2.0,Western Addition,37.78716,-122.43386,Guest suite,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,5.0,281.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,t,moderate,f,1.0,Noe Valley,37.74188,-122.43122,House,Private room,2.0,1.0,1.0,1.0,Real Bed,5.0,24.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,t,strict_14_with_grace_period,f,3.0,Western Addition,37.77729,-122.43421,Townhouse,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,399.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,t,moderate,f,1.0,Potrero Hill,37.76212,-122.39541,House,Private room,3.0,1.0,0.0,1.0,Real Bed,4.0,298.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,t,strict_14_with_grace_period,f,3.0,Western Addition,37.78895,-122.43031,House,Private room,2.0,1.5,1.0,1.0,Real Bed,2.0,76.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,f,strict_14_with_grace_period,t,2.0,Western Addition,37.77478,-122.4315,Apartment,Entire home/apt,10.0,2.0,4.0,7.0,Real Bed,2.0,31.0,90.0,9.0,8.0,9.0,9.0,9.0,9.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,f,moderate,f,1.0,Castro/Upper Market,37.76298,-122.43136,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,129.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,t,strict_14_with_grace_period,t,2.0,Mission,37.76098,-122.42158,Condominium,Private room,4.0,1.0,1.0,2.0,Real Bed,1.0,25.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,t,strict_14_with_grace_period,f,3.0,Bernal Heights,37.73729,-122.41163,House,Entire home/apt,4.0,2.0,2.0,2.0,Real Bed,7.0,13.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,f,flexible,f,1.0,Outer Richmond,37.77931,-122.50518,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,2.0,37.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,t,moderate,f,6.0,Presidio Heights,37.78197,-122.45809,House,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,197.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,f,super_strict_30,f,35.0,Noe Valley,37.7483,-122.42488,Guest suite,Entire home/apt,2.0,1.0,1.0,2.0,Real Bed,30.0,20.0,96.0,9.0,10.0,10.0,10.0,10.0,9.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,f,moderate,f,2.0,Bernal Heights,37.74093,-122.42055,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,30.0,21.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,t,strict_14_with_grace_period,t,6.0,Mission,37.76016,-122.41969,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,96.0,92.0,10.0,10.0,10.0,10.0,9.0,9.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,f,moderate,f,1.0,Presidio Heights,37.78255,-122.44844,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,30.0,136.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,f,flexible,f,4.0,Castro/Upper Market,37.76125,-122.43335,House,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,4.0,43.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,t,moderate,f,1.0,Bernal Heights,37.74083,-122.41763,House,Private room,2.0,2.0,1.0,1.0,Real Bed,3.0,225.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,t,moderate,f,1.0,Mission,37.75611,-122.41866,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,1.0,76.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,f,moderate,f,1.0,Glen Park,37.73557,-122.43302,House,Entire home/apt,3.0,1.0,0.0,2.0,Real Bed,30.0,146.0,89.0,9.0,8.0,9.0,9.0,9.0,9.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,t,strict_14_with_grace_period,t,1.0,Nob Hill,37.79001,-122.41292,Condominium,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,30.0,13.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,f,super_strict_30,f,35.0,Bernal Heights,37.73356,-122.41851,Apartment,Entire home/apt,2.0,1.0,0.0,2.0,Real Bed,30.0,6.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,f,super_strict_30,f,35.0,Bernal Heights,37.73404,-122.41781,House,Entire home/apt,2.0,1.0,1.0,2.0,Real Bed,30.0,4.0,87.0,9.0,8.0,10.0,10.0,8.0,7.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
